name,family,components,realizability_margin,exact_beta,exact_gamma_norm,standardized_third_cumulant_norm,standardized_fourth_cumulant_norm,fourth_source_disagreement,tail_disagreement,reconstruction_failure,stage9_fourth_source_error,grad_fourth_source_error,best_algebraic_fourth_source_error,both_algebraic_closures_unsafe,stage9_status,grad_status,source_sensor_active,combined_sensor_active
random_0054,random_multivariate_mixture,2,7.038354560530285e-05,-0.05856221888621249,0.3605386954907472,6.00983228557987,30.043316928756,0.7312379945095506,0.9096907105314957,False,0.6282386104796046,0.14702391802610898,0.14702391802610898,True,PASS,PASS,True,True
random_0055,random_multivariate_mixture,2,0.0009028742109336953,-0.07537272243397038,0.5218656146219547,1.012822215859619,12.441757570034282,0.11256840078120099,0.143628192999399,False,0.15945525066658825,0.0937937475074162,0.0937937475074162,True,PASS,PASS,True,True
random_0056,random_multivariate_mixture,4,0.0011915292739482816,-0.03680444345989878,3.6923876529124087,3.5585260264030802,5.118812858163631,1.7597935688768787,0.6042938497192458,False,6.966153267439211,0.8623643364851814,0.8623643364851814,True,PASS,PASS,True,True
random_0057,random_multivariate_mixture,2,3.5792066006730174e-06,-0.11045802821417398,0.059010479106905656,0.6970924333241552,1.2863253751499182,0.147912815228187,0.15811168868070558,False,0.07146899275847159,0.12637456244762035,0.07146899275847159,True,PASS,PASS,True,True
random_0058,random_multivariate_mixture,3,5.818896107876526e-06,-0.10948775574271534,22.821285630631305,5.83077467460934,2.2451291263909634,1.1438958998591444,0.09464635526134833,False,12.721701101027728,8.19309008217112,8.19309008217112,True,PASS,PASS,True,True
random_0059,random_multivariate_mixture,4,3.159827568131508e-05,-0.06947839026548949,1.5699949940376232,4.287338214897875,7.181966634372653,1.9132989458789769,0.7434015332242724,False,13.331184356787286,0.5082433719184862,0.5082433719184862,True,PASS,PASS,True,True
random_0060,random_multivariate_mixture,3,0.06154056585271994,-0.019709030277632367,0.08266765170820944,2.8189098916602155,40.572320895537764,0.3936468577489779,0.8309840183605645,False,0.2550866245692526,0.17607511998536698,0.17607511998536698,True,PASS,PASS,True,True
random_0061,random_multivariate_mixture,2,0.00011561926129203554,-0.06295401858513709,0.18885104278452633,3.353543307998444,18.630702975819954,0.1868690802041763,0.1125001386320796,False,0.2834682570921419,0.2087728830148949,0.2087728830148949,True,PASS,PASS,True,True
random_0062,random_multivariate_mixture,4,0.00029435543229606445,-0.08744576253891631,1.7191000224474318,6.180636905247066,6.983227067116352,1.0464260518191515,0.19038094768315475,False,1.5537192400383728,0.4493651688543756,0.4493651688543756,True,PASS,PASS,True,True
random_0063,random_multivariate_mixture,3,4.554174359219216e-08,-0.11491233722233951,185.97978894263917,8.488639847235227,9.20144434417463,1.8915311358717128,0.12228584975777439,False,147.99859131133616,5.928306056261923,5.928306056261923,True,PASS,PASS,True,True
random_0064,random_multivariate_mixture,2,0.00010677071312269983,-0.0410480374454904,0.07715833132992295,1.0757216587534835,2.886036688610716,0.14004836807925136,0.2056509292426786,False,0.15328998908855287,0.05844965682540941,0.05844965682540941,True,PASS,PASS,True,True
random_0065,random_multivariate_mixture,2,1.792314578961398e-08,-0.12795376920771043,82.92210090909803,2.444278775871832,15.8129099266475,0.7124233752849912,0.009493580467645243,False,2.5160997689270115,3.1704343530836456,2.5160997689270115,True,PASS,PASS,True,True
random_0066,random_multivariate_mixture,4,0.00017584011130119908,-0.08253315524068353,17.18702751209297,6.436862482592518,13.652806355803225,1.888783724088079,0.705637235845094,False,21.051763585478547,0.5453227743335558,0.5453227743335558,True,PASS,PASS,True,True
random_0067,random_multivariate_mixture,3,0.0028409435127410296,-0.04696641945152435,0.03469347311722369,0.3388529965238104,0.6041610840441325,0.05430887517394479,0.06049462425670148,False,0.04790845324285164,0.030118797437007013,0.030118797437007013,True,PASS,PASS,False,False
random_0068,random_multivariate_mixture,2,1.0141129977061927e-05,-0.10974315253834743,1.489130415406973,5.009557531337042,2.7607626934843315,1.031803707228702,0.12988751154144224,False,0.626170164673259,0.5076463177014614,0.5076463177014614,True,PASS,PASS,True,True
random_0069,random_multivariate_mixture,4,0.041884499795430484,-0.00921410455922665,0.22744630620106376,2.7495339462396093,10.18904283951087,0.3268752330257841,0.7362829990569115,False,0.2566564764605814,0.10962801559278486,0.10962801559278486,True,PASS,PASS,True,True
random_0070,random_multivariate_mixture,4,0.002008958460350065,-0.04488283598552448,2.1790175552037905,1.9739627139398181,8.452875600142379,1.665316522311245,0.6267139850038314,False,2.7800877959654433,1.5896788003231508,1.5896788003231508,True,PASS,PASS,True,True
random_0071,random_multivariate_mixture,2,3.3469609788890166e-05,-0.09393929142313459,1.9825406384952835,2.6270987841069453,10.38786387063899,0.49171559797983816,0.10195558397940091,False,0.6947402783598905,0.36366061590262344,0.36366061590262344,True,PASS,PASS,True,True
random_0072,random_multivariate_mixture,2,0.0001008827529105607,-0.11831611883550722,0.20460095708442982,0.8113730164737646,7.486014793885571,0.039268224215616716,0.04824961436716507,False,0.09459097331694513,0.09946669317076531,0.09459097331694513,True,PASS,PASS,False,False
random_0073,random_multivariate_mixture,4,0.004931100245786558,-0.02570138504375991,0.14370763126030367,2.8251725971489887,21.96072785939932,0.10416038084454336,0.05604774666638205,False,0.12475320376810943,0.13070636407001043,0.12475320376810943,True,PASS,PASS,True,True
random_0074,random_multivariate_mixture,4,0.002592348285881701,-0.08331667513612652,3.747030449904767,1.4934024288961376,11.290619788380052,0.8785870604131135,0.45520718835691365,False,0.6877287882574952,0.2706631768577515,0.2706631768577515,True,PASS,PASS,True,True
random_0075,random_multivariate_mixture,3,0.0008235333823466994,-0.08167847139576359,0.658488449964627,2.920632893475684,11.983629563146431,1.836437961379822,1.3085130952698274,False,3.371087055657207,1.1977356422192837,1.1977356422192837,True,PASS,PASS,True,True
random_0076,random_multivariate_mixture,4,0.0028685217040193304,-0.04908478171702869,0.33016974246406344,4.557135730920085,13.989210304527512,0.43061722578100986,0.3322513590957375,False,0.388774594111412,0.12802341059298486,0.12802341059298486,True,PASS,PASS,True,True
random_0077,random_multivariate_mixture,3,0.0001131016503450847,-0.10582263881036781,73.5510518741866,8.648534642264304,12.330117336424832,1.8659703073589315,0.28565712330722176,False,120.89251893071636,4.422296425414592,4.422296425414592,True,PASS,PASS,True,True
random_0078,random_multivariate_mixture,2,0.001926385786494317,-0.08455727222639436,1.5506763962282886,6.314492638485354,7.416046787678793,1.599351783865217,0.6543452676126369,False,4.444631052995629,0.643597737426307,0.643597737426307,True,PASS,PASS,True,True
random_0079,random_multivariate_mixture,4,0.0021049862498885535,-0.0776802666279034,2.5742761360121347,7.049257219624346,8.985494130712187,1.736502200559796,0.26080438541540474,False,4.300205465660395,1.5224987836245485,1.5224987836245485,True,PASS,PASS,True,True
