name,family,components,initial_realizability_margin,cubic_beta,gamma_norm,cubic_active,exact_euler_margin,exact_euler_finite,single_gaussian_status,single_gaussian_tail_relative_error,single_gaussian_source_relative_error,single_gaussian_source_direction_cosine,single_gaussian_euler_step_margin,stage9_tensor_mixture_tail_status,stage9_tensor_mixture_tail_tail_relative_error,stage9_tensor_mixture_tail_source_relative_error,stage9_tensor_mixture_tail_source_direction_cosine,stage9_tensor_mixture_tail_euler_step_margin,grad_hyqmom_gqmom_status,grad_hyqmom_gqmom_tail_relative_error,grad_hyqmom_gqmom_source_relative_error,grad_hyqmom_gqmom_source_direction_cosine,grad_hyqmom_gqmom_euler_step_margin,stage9_finite_map_status,stage9_finite_map_margin,guarded_grad_map_status,guarded_grad_map_margin,guarded_grad_map_limiter_fraction
random_0030,random_multivariate_mixture,2,0.00040905684221790174,-0.11409744773537751,0.010746957691604733,True,0.0006509933896120316,True,PASS,0.09681353818886977,0.12418608638622655,0.9998771126400291,0.0006490717132560721,PASS,0.05461147443014776,0.07481667249745808,0.9996147855459729,0.0006489924930449891,PASS,0.07013782374825397,0.09110388646502775,0.9962745228543581,-0.002778228294936205,PASS,0.0006660239154888108,PASS,1.0000004653364472e-12,0.2505605777817896
random_0031,random_multivariate_mixture,2,0.004356682596412468,-0.07642094983662352,0.0748744374328329,True,0.005468668837916741,True,PASS,0.26607323355455087,0.2277363562320339,0.9875419018200537,0.005394049046404535,PASS,0.20017838698020254,0.17386468685863973,0.9890295330213422,0.005420363211287161,PASS,0.09689214183509944,0.09431755297600042,0.9957521334444491,0.000860915081611171,PASS,0.005470226245986258,PASS,0.0008709200097331489,1.0
random_0032,random_multivariate_mixture,4,0.00015799934366531602,-0.06652038192083506,11.302716991423313,True,0.0015280130762109498,True,PASS,3.0680852392776914,10.953498742946996,0.05179673766009954,-0.030077843230695303,PASS,0.4139943867434343,5.925462185801817,0.1794927179313632,-0.007135546635596748,PASS,0.11314439578299292,6.050055639768133,0.33846387720704096,-0.021224266571354424,PASS,0.0015560318007177096,PASS,1.0000415048594752e-12,0.2258520110458157
random_0033,random_multivariate_mixture,4,5.579147625398637e-07,-0.12477805788956704,3.1962227752086902,True,-6.859169070437087e-07,True,PASS,1.0230856484202078,33.10692178881282,-0.31003850863563853,-6.685385467642208e-07,PASS,0.033886999496699204,0.8041065202348833,0.8489748920925209,-5.995959862187322e-07,PASS,0.006083406749213117,0.08714472905694325,0.9962978732037099,-0.00010566695035029165,PASS,2.0916146608530343e-05,PASS,1.0000037603233943e-12,0.22550557845534058
random_0034,random_multivariate_mixture,2,0.0004061700108934455,-0.1109995833287122,4.098209928068777,True,0.00048624041557366086,True,PASS,0.9034809721575129,300.66248285387655,-0.9823221118565972,-0.006974038586823376,PASS,0.024866106654054764,0.6744233601199118,0.7415489820333434,0.00047772771725868046,PASS,0.042763970512019356,0.5589100364155939,0.9503968036083262,0.000507077819504688,PASS,0.0005238154890526737,PASS,0.0005107569449192453,1.0
random_0035,random_multivariate_mixture,2,4.883381207176196e-07,-0.1271814031200697,274.8106087059385,True,-8.248323126376031e-06,True,PASS,9.851403314897377,73.40862995352238,0.05314004121612307,-0.838255156759623,PASS,0.010965573160457556,3.4568291296305205,0.3869687983609453,-0.061710578671845054,PASS,0.003714997830555775,1.3091612147108076,0.6609143780440869,-0.011967957938716077,PASS,3.295002746880919e-05,PASS,1.0000336805352934e-12,0.015301709416161836
random_0036,random_multivariate_mixture,4,0.000793656453757427,-0.09060635332062818,4.628347010869605,True,0.0014919986026481651,True,PASS,0.9084513807295791,266.1261612266233,-0.978086875939559,-0.006239151527209588,PASS,0.2062648456192861,2.0413573188068486,0.05917164657927374,-0.0012754007511625231,PASS,0.027093018338823775,0.7498320748773445,0.8659799924154669,0.001534198889727364,PASS,0.0014409017669832934,PASS,0.0015344981422950475,1.0
random_0037,random_multivariate_mixture,3,0.001441202573957758,-0.050730360289375734,0.18914487349812495,True,0.002179029815726627,True,PASS,3.198812512598869,2.615569142820008,-0.024193905499114862,0.0021843705609959755,PASS,0.3390609834160118,0.16865509732969403,0.9856848800602832,0.002172738665701861,PASS,0.16052418747655287,0.15774910251799323,0.9915990842557363,0.002065890977241779,PASS,0.002214617855725568,PASS,0.0021025992900733973,1.0
random_0038,random_multivariate_mixture,3,5.476087173871162e-10,-0.08084253841592696,696.0056779365927,True,-0.0033400915052012154,True,PASS,0.8680403477643112,9563.689564188173,0.013220166948287225,-0.06783691663744155,PASS,0.45706489620600715,505.585975082782,-0.20443166043261451,-2.4785194787980237e+17,PASS,0.02547425247322872,20.700758690597805,-0.3107806108912106,-0.789006288617467,PASS,-0.0006303193111567301,PASS,1.0000149165247924e-12,0.0010662893076515247
random_0039,random_multivariate_mixture,3,6.911893784185389e-06,-0.10039174594646293,29.950603414185107,True,1.2371432468196217e-05,True,PASS,0.9734659985341982,733.1828024201833,0.07667205621236715,-2.9991293528427974e+17,PASS,0.45140824006975466,1385.3247317138432,-0.45183769186929934,-2.1412320155917217,PASS,0.026933823937082255,1.302053851563901,0.7600962826033654,-0.030546113738430556,PASS,-0.00018166301749010172,PASS,1.0000496019924006e-12,0.002055421204808029
